Shot Type,Accuracy,Score
Defence,42.96,4.3
Defence,43.82,4.4
Cover_Drive,48.81,4.9
Cover_Drive,40.29,4.0
Defence,39.19,3.9
Pull_Shot,60.31,6.0
Cover_Drive,41.25,4.1
Pull_Shot,27.33,2.7
Cover_Drive,50.29,5.0
Sweep_Shot,69.94,7.0
Defence,84.83,8.5
Cut_shot,62.95,6.3
Cover_Drive,91.48,9.1
Pull_Shot,81.04,8.1
Pull_Shot,95.64,9.6
Sweep_Shot,83.64,8.4
Cut_shot,92.62,9.3
Defence,87.17,8.7
Defence,43.69,4.4
Defence,36.17,3.6
Sweep_Shot,61.41,6.1
Cut_shot,72.44,7.2
Defence,45.41,4.5
Defence,33.05,3.3
Defence,40.47,4.0
Defence,50.38,5.0
Cut_shot,57.63,5.8
Cover_Drive,89.74,9.0
Cover_Drive,68.63,6.9
Pull_Shot,77.94,7.8
Pull_Shot,83.62,8.4
Pull_Shot,68.55,6.9
Pull_Shot,78.76,7.9
Cut_shot,85.01,8.5
Defence,86.53,8.7
Defence,97.91,9.8
Defence,45.41,4.5
Defence,87.17,8.7
Cover_Drive,78.07,7.8
Cover_Drive,36.17,3.6
Defence,42.62,4.3
Defence,43.25,4.3
Defence,81.13,8.1
Defence,39.59,4.0
Defence,22.53,2.3
Defence,41.91,4.2
Defence,35.11,3.5
Defence,58.9,5.9
Cut_shot,35.24,3.5
Cut_shot,54.52,5.5
Defence,60.9,6.1
Defence,53.28,5.3
Cut_shot,35.18,3.5
Defence,51.32,5.1
Defence,43.01,4.3
Defence,46.86,4.7
Defence,46.79,4.7
Sweep_Shot,44.95,4.5
Defence,41.88,4.2
Pull_Shot,24.76,2.5
Cover_Drive,27.5,2.8
Defence,23.83,2.4
Defence,33.55,3.4
Defence,36.35,3.6
Cover_Drive,36.15,3.6
Defence,47.84,4.8
Defence,41.83,4.2
Defence,48.36,4.8
Defence,52.48,5.2
Defence,52.7,5.3
Cover_Drive,38.21,3.8
Cut_shot,38.49,3.8
Sweep_Shot,78.57,7.9
Sweep_Shot,49.34,4.9
Pull_Shot,39.89,4.0
Cut_shot,38.49,3.8
Defence,19.17,1.9
Defence,19.78,2.0
Defence,19.54,2.0
Defence,19.45,1.9
Defence,18.79,1.9
Uncertain,19.16,1.9
Uncertain,19.49,1.9
Uncertain,19.45,1.9
Uncertain,19.16,1.9
Uncertain,19.78,2.0
Defence,19.49,1.9
Defence,19.16,1.9
Defence,18.64,1.9
